Stranding ID,Period,Season,Condition,INOFF,LatDD,LongDD,SCL (cm),SizeClass,Number of Trash Items,Mass of Trash Items
20190506APS01,2019,Spring,Fresh Dead,Offshore,27.58019,-97.22076,26.8,Recruit,29,1.24
20190408DMS01,2019,Spring,Fresh Dead,Offshore,27.34514,-97.32753,26.8,Recruit,3,0.07
20191123NAN22,2019,Fall,Fresh Dead,Offshore,26.033685,-97.153327,26.9,Recruit,0,0
20190530AMO01,2019,Spring,Fresh Dead,Offshore,27.615305,-97.200995,26.9,Recruit,5,0.03
20190807EFP01,2019,Summer,Fresh Dead,Offshore,27.16754,-97.36997,27.4,Recruit,1,0.001
20190804AMO01,2019,Summer,Fresh Dead,Offshore,27.63909,-97.189594,27.4,Recruit,1,0.001
20190507EXR02,2019,Spring,Fresh Dead,Offshore,27.61325,-97.20208,27.4,Recruit,30,0.93
20190413LES01,2019,Spring,Fresh Dead,Offshore,26.116298,-97.16492,27.5,Recruit,11,0.07
20190520AMO04,2019,Spring,Fresh Dead,Offshore,27.615777,-97.200876,27.8,Recruit,18,0.78
20191206KNS01,2019,Winter,Fresh Dead,Offshore,27.83408604,-97.04489065,27.9,Recruit,0,0
20190507LES01,2019,Spring,Fresh Dead,Offshore,26.562389,-97.269343,27.9,Recruit,0,0
20190722AMW04,2019,Summer,Fresh Dead,Offshore,27.637496,-97.190324,28,Recruit,1,0.001
20190718HSL01,2019,Summer,Fresh Dead,Offshore,27.33903,-97.32953,28.4,Recruit,2,0.01
20190708EAE02,2019,Summer,Fresh Dead,Offshore,27.61395,-97.20673,28.4,Recruit,0,0
20191106RLL02,2019,Fall,Fresh Dead,Offshore,26.05666,-97.15179,28.8,Recruit,0,0
20191106RLL01,2019,Fall,Fresh Dead,Offshore,25.97697,-97.14859,29.2,Recruit,0,0
20190716EAE05,2019,Summer,Fresh Dead,Offshore,27.61443,-97.19916,29.3,Recruit,0,0
20190506JLC01,2019,Spring,Fresh Dead,Offshore,27.60417,-97.20852,29.9,Recruit,0,0
20190804NAN01,2019,Summer,Fresh Dead,Offshore,26.067368,-97.149237,30.6,Recruit,6,0.001
